,Rank#,Name,Walk Score,Transit Score,Bike Score,Population
0,1,Near North Side,96,90,87,85347
1,2,West Loop,96,100,85,6097
2,3,East Ukrainian Village,96,75,98,7233
3,4,Ukrainian Village,94,70,97,6002
4,5,Wicker Park,94,75,95,8833
5,6,Lincoln Park,94,79,90,26167
6,7,The Loop,93,99,80,14709
7,8,Grant Park,93,100,79,1158
8,9,Fulton River District,93,96,84,4427
9,10,Noble Square,93,75,98,8494
10,11,DePaul,92,77,88,30656
11,12,South Loop,92,93,88,35008
12,13,Bucktown,91,73,90,17318
13,14,Lakeview,91,79,88,94521
14,15,West Town,91,75,94,21561
15,16,Uptown,91,79,91,48579
16,17,Ravenswood,90,69,88,35239
17,18,Edgewater,89,72,80,56505
18,19,North Center,88,66,87,17134
19,20,Armour Square,88,75,83,12718
20,21,Pilsen,88,66,85,35903
21,22,Logan Square,88,68,90,92596
22,23,Roscoe Village,88,66,86,14401
23,24,Albany Park,87,62,76,57227
24,25,Near West Side,86,82,89,17235
25,26,Hyde Park,86,66,92,18584
26,27,Rogers Park,86,74,81,55247
27,28,Goose Island,86,80,89,3790
28,29,University Village - Little Italy,85,72,92,17447
29,30,Irving Park,85,66,74,14184
30,31,River West,84,80,89,1298
31,32,Humboldt Park,84,67,82,39790
32,33,Avondale,84,68,78,17980
33,34,East Hyde Park,83,66,96,11204
34,35,South Old Irving Park,83,70,67,1346
35,36,Tri-Taylor,82,72,92,3341
36,37,Cragin,82,59,65,42978
37,38,Lincoln Square,82,60,73,14134
38,39,Mayfair,82,65,74,7468
39,40,Little Village,82,62,68,80787
40,41,Chatham,82,67,59,25742
41,42,West Ridge,81,56,75,71939
42,43,Illinois Medical District,81,73,90,833
43,44,Bridgeport,81,61,81,32884
44,45,Kilbourn Park,80,63,67,7047
45,46,Hermosa,79,60,67,20888
46,47,Old Irving Park,79,70,66,11558
47,48,Kenwood,79,66,85,6207
48,49,Belmont Central,78,59,65,31071
49,50,North Mayfair,78,59,70,6882
50,51,Belmont Gardens,78,60,66,17392
51,52,East Garfield Park,78,73,82,23705
52,53,Chicago Lawn,78,58,66,18914
53,54,Marynook,78,59,55,2461
54,55,West Garfield Park,78,70,67,14189
55,56,Stony Island Park,77,59,69,3601
56,57,Avalon Park,77,63,61,3567
57,58,West Humboldt Park,77,63,60,13598
58,59,Back of the Yards,76,61,63,47169
59,60,Austin,76,65,62,80920
60,61,Grand Crossing,76,66,61,11044
61,62,The Villa,75,72,60,598
62,63,McKinley Park,75,64,60,14484
63,64,South Shore,75,68,62,46254
64,65,West Woodlawn,75,72,76,8107
65,66,Montclare,74,58,68,16143
66,67,Bronzeville,74,67,73,54188
67,68,Archer Heights,74,57,58,15593
68,69,Portage Park,74,59,62,43601
69,70,North Park,73,54,72,17672
70,71,Gage Park,73,60,64,39517
71,72,Lawndale,72,66,65,50720
72,73,Brighton Park,72,60,62,46284
73,74,Gresham,72,62,62,52409
74,75,Jefferson Park,72,64,72,44147
75,76,Park Manor,71,73,70,16563
76,77,Brainerd,71,64,58,12894
77,78,West Chatham,71,71,60,3818
78,79,Schorsch Village,71,55,64,7287
79,80,West Elsdon,70,62,67,18156
80,81,West Lawn,70,57,55,35434
81,82,South Chicago,70,63,65,30820
82,83,Englewood,70,65,63,49557
83,84,Galewood,69,57,62,14803
84,85,Woodlawn,69,73,71,14253
85,86,Belmont Heights,69,54,57,12912
86,87,Roseland,69,62,66,28719
87,88,Marquette Park,69,57,59,32328
88,89,West Englewood,68,63,65,25522
89,90,Washington Park,68,73,66,11328
90,91,Beverly Woods,68,45,56,1136
91,92,Dunning,68,53,61,6881
92,93,West Morgan Park,67,40,56,2545
93,94,Edison Park,66,46,62,10972
94,95,Washington Heights,66,58,56,5226
95,96,Morgan Park,66,50,64,16994
96,97,Beverly,64,50,65,20245
97,98,Scottsdale,64,56,56,14173
98,99,Calumet Heights,63,58,60,13790
99,100,Burnside,63,66,54,9931
100,101,Longwood Manor,62,67,55,6407
101,102,Norwood Park,62,51,65,35948
102,103,Fernwood,61,57,51,9984
103,104,Clearing,61,42,57,19136
104,105,Kennedy Park,61,43,54,1874
105,106,East Side,61,38,63,22945
106,107,Schorsch Forest View,61,35,48,2215
107,108,West Chesterfield,59,78,54,4125
108,109,Ford City,59,61,49,861
109,110,Wildwood,59,42,57,4060
110,111,Edgebrook,59,42,61,4628
111,112,Belmont Terrace,58,52,54,2554
112,113,Ashburn,58,56,51,16334
113,114,Garfield Ridge,58,45,54,36247
114,115,O'Hare,57,51,47,13002
115,116,Wrightwood,55,53,51,9542
116,117,Sauganash,55,41,69,6525
117,118,West Pullman,54,55,58,29655
118,119,Mount Greenwood,54,43,54,17508
119,120,Hegewisch,52,34,57,9511
120,121,South Deering,49,51,47,14340
121,122,Pullman,49,62,50,7284
122,123,Irving Woods,48,48,54,4355
123,124,Princeton Park,43,82,46,3364
124,125,Tally's Corner,41,47,51,1584
